"x" "y" "z"
"1" -0.12693675 -0.09959075 2.144145
"2" -0.1234518 0.2158175 2.24354
"3" -0.1216274 0.514921 2.325965
"4" -0.0937082 0.6554455 2.39216
"5" -0.232357 0.44544 2.32646
"6" -0.266398 0.2245655 2.198015
"7" -0.209655 0.208252 1.946485
"8" -0.1944985 0.2215375 1.903785
"9" 0.01854285 0.416541 2.189195
"10" -0.0745253 0.566764 1.9853
"11" -0.221976 0.7144185 1.86096
"12" -0.264992 0.7623645 1.82777
"13" -0.1862505 -0.09563305 2.11682
"14" -0.199249 -0.4477685 2.034095
"15" -0.2243565 -0.8196095 1.88237
"16" -0.1538845 -0.862001 1.74883
"17" -0.06354145 -0.0980722 2.092795
"18" -0.0602981 -0.4634095 2.040605
"19" -0.02570885 -0.8274205 1.87769
"20" -0.08067425 -0.876613 1.7488
"21" -0.1223885 0.4422615 2.30821
"22" -0.1714195 0.2418695 1.85149
"23" -0.23149 0.2366505 1.887355
"24" -0.304713 0.818752 1.787375
"25" -0.278307 0.7580815 1.816225
